Country,Region,Income_Group,Population,CO2_tons_per_capita,Primary_completion_female,Primary_completion_male,LowSecondary_completion_female,LowSecondary_completion_male,pct_Women_in_Parliament,Broadband_subscs_per1k,MobileCell_subscs_per1k,GDP_per_capita_USD,GNI_per_capita_USD,Life_expectancy
Luxembourg,Europe & Central Asia,High income,582014,15.44261306,79.70628357,78.47901917,100.7966919,96.77224731,28.33333333,348.9606779,1312.6832,110649.6966,70450,82.68536585
"Macao SAR, China",East Asia & Pacific,High income,612836,3.37478216,96.47847748,99.84342194,96.59456635,95.24624634,,290.3860087,3214.51416,115698.0592,107330,83.854
Madagascar,Sub-Saharan Africa,Low income,24894380,0.156876974,69.75856018,65.41860199,36.50548935,35.55535126,20.52980132,1.059877772,321.2873749,1606.666934,1550,65.931
Malawi,Sub-Saharan Africa,Low income,17205289,0.075448776,,,,,16.66666667,0.50519349,417.2193795,1025.010957,1020,62.681
Malaysia,East Asia & Pacific,Upper middle income,30684804,8.091591623,101.4403076,98.66143799,86.1452713,80.69857025,10.36036036,88.60411818,1416.49919,25546.00297,24840,75.649
Maldives,South Asia,Upper middle income,475513,3.03839853,100.5470886,113.4093628,109.207962,96.39817047,5.882352941,61.63659038,1707.898627,17410.97133,16000,78.013
Mali,Sub-Saharan Africa,Low income,17965429,0.176967052,47.86235809,54.13811874,25.36207008,35.7364502,8.843537415,1.409540513,1125.366948,2189.008937,2130,57.987
Malta,Middle East & North Africa,High income,455356,2.947412574,102.9796066,100.6930695,97.63105011,103.1310196,12.85714286,376.1079243,1285.741266,39446.07079,35590,82.45365854
Marshall Islands,East Asia & Pacific,Upper middle income,57735,2.477058976,72.78646088,69,,,9.090909091,17.32051615,268.4680003,3581.17687,4690,
Mauritania,Sub-Saharan Africa,Lower middle income,4163534,0.657914406,,,29.30444908,29.57226944,25.17006803,2.555761524,868.0534373,4700.104005,4610,64.208
Mauritius,Sub-Saharan Africa,High income,1263473,3.442148744,102.4035568,99.78594208,93.12751007,84.03575134,11.5942029,168.2663579,1435.72518,20701.21897,22390,74.39487805
Mexico,Latin America & Caribbean,Upper middle income,123333376,3.943827403,104.0164719,103.9240265,97.86605835,94.21698761,42.4,130.3150901,905.9267136,19324.77603,18810,74.917
"Micronesia, Fed. Sts.",East Asia & Pacific,Lower middle income,110215,1.297581999,89.65818787,92.37779999,,,0,28.75289207,212.4211768,3376.462174,3930,67.471
Moldova,Europe & Central Asia,Lower middle income,2802170,1.825536995,89.85061646,89.71704865,81.75087738,84.33666992,21.78217822,198.9183383,1351.984355,10610.47784,11200,71.617
Monaco,Europe & Central Asia,High income,38070,0,,,,,20.83333333,488.9414237,874.6256895,,,
Mongolia,East Asia & Pacific,Lower middle income,3056359,8.300172198,92.62698364,93.35178375,,,17.10526316,73.99228952,1101.824099,10742.65309,9860,69.321
Montenegro,Europe & Central Asia,Upper middle income,622303,3.240945327,89.5905838,91.11650085,98.84967041,95.55342865,23.45679012,184.5531839,1672.416813,18085.02979,18240,76.568
Morocco,Middle East & North Africa,Lower middle income,35126296,1.744435849,94.56421661,95.49629974,69.11273193,66.88374329,20.50632911,35.74046065,1181.846785,7112.999215,6980,75.974
Mozambique,Sub-Saharan Africa,Low income,27829942,0.285402032,,,,,39.6,1.674419587,539.9077008,1363.674365,1330,58.309
Myanmar,East Asia & Pacific,Lower middle income,53045226,0.476580079,,,57.49364853,51.85800934,9.930715935,1.690745931,953.6466109,4492.018321,4370,66.205
Namibia,Sub-Saharan Africa,Upper middle income,2358041,1.793035405,,,,,41.34615385,27.28663327,1128.033821,10372.32496,10170,62.625
Nauru,East Asia & Pacific,High income,13049,3.653230133,133.3333282,128.7037048,,,5.263157895,,758.678826,10960.85098,14910,
Nepal,South Asia,Lower middle income,27261131,0.333997918,121.8397598,111.9474335,94.62602997,84.88746643,29.57983193,8.223576637,1178.245319,2582.943673,2620,69.848
Netherlands,Europe & Central Asia,High income,17030314,10.02797271,,,,,37.33333333,421.7773084,1226.636221,52283.15685,51510,81.56097561
New Caledonia,East Asia & Pacific,High income,276550,19.26650154,,,,,,200.2205749,941.1571144,,,76.96150074
New Zealand,East Asia & Pacific,High income,4693200,7.325874031,,,,,31.40495868,326.1101168,1299.752834,39990.55728,38700,81.61243902
Nicaragua,Latin America & Caribbean,Lower middle income,6303974,0.887087256,,,,,45.65217391,28.08133409,1228.670994,5694.050674,5420,73.86
Niger,Sub-Saharan Africa,Low income,20788838,0.097016004,65.04421997,77.9905777,14.36577034,18.66916084,14.61988304,0.370727792,359.4140279,1148.472964,1190,61.137
Nigeria,Sub-Saharan Africa,Lower middle income,185960289,0.647284835,,,,,5.555555556,0.580398109,829.9728981,5234.67786,5120,53.541
North Macedonia,Europe & Central Asia,Upper middle income,2080745,3.388998171,,,,,33.33333333,183.3626898,985.4595349,14983.16647,14390,75.498
Northern Mariana Islands,East Asia & Pacific,High income,56188,0,,,,,,,,,,
Norway,Europe & Central Asia,High income,5234519,7.836962479,100.5684128,101.132309,100.977562,101.1512985,39.64497041,402.9787646,1094.574306,58933.95578,61840,82.40731707
Oman,Middle East & North Africa,High income,4479219,14.16707578,103.6220932,103.6729736,101.2294006,103.4809418,1.176470588,63.54835519,1532.914555,28925.85672,28010,77.142
Pakistan,South Asia,Lower middle income,203627284,0.987832348,58.84320068,70.61134338,42.70442963,50.94345093,20.58823529,8.067730256,670.2883686,4410.094753,4330,66.77
Palau,East Asia & Pacific,High income,17725,12.61985896,,,,,12.5,69.05500705,1339.520451,17937.14458,19490,
Panama,Latin America & Caribbean,High income,4037078,2.654140941,,,,,18.30985915,106.4955891,1273.636526,27828.52345,25840,77.964
Papua New Guinea,East Asia & Pacific,Lower middle income,8271760,0.911013497,71.52944183,82.36917877,54.42536163,69.36273193,2.702702703,2.055185354,457.2182945,4147.683828,4100,63.744
Paraguay,Latin America & Caribbean,Upper middle income,6777872,1.092871037,,,,,15,36.85256966,1104.988409,12029.96623,11550,73.836
Peru,Latin America & Caribbean,Upper middle income,30926032,1.856501313,104.1294937,104.9165573,90.52178192,89.94760895,27.69230769,68.57523784,1194.243089,12013.37894,11520,76.044
Philippines,East Asia & Pacific,Lower middle income,103663927,1.179649658,,,,,29.79452055,28.79931415,1158.522578,7703.753729,8560,70.802
Poland,Europe & Central Asia,High income,37970087,7.875581533,102.7631683,100.7907181,96.41718292,97.278862,27.39130435,192.9919202,1395.883028,28319.24701,27200,77.85121951
Portugal,Europe & Central Asia,High income,10325452,4.720545309,,,,,34.7826087,326.920313,1120.735441,31604.54631,30840,81.12439024
Puerto Rico,Latin America & Caribbean,High income,3406672,0,,,,,,201.6193517,954.6501688,34346.86733,23040,79.49497561
Qatar,Middle East & North Africa,High income,2654374,38.90147093,94.02954865,95.43305969,95.0686264,87.01938629,0,95.58487237,1376.060796,83102.50703,82490,79.868
Romania,Europe & Central Asia,High income,19702267,3.515261924,92.0419693,91.68750763,89.50229645,88.60566711,13.71571072,225.8623335,1162.302795,24118.9172,23800,75.2097561
Russian Federation,Europe & Central Asia,Upper middle income,144342396,11.99943207,96.70748138,95.60453796,97.73600769,94.20957947,12.66666667,190.6764801,1587.378389,24125.39886,23450,71.65121951
Rwanda,Sub-Saharan Africa,Low income,11668818,0.095533926,75.53838348,62.53432846,37.47806168,32.99320984,63.75,1.861456747,764.5615863,1883.843384,1840,67.93
Samoa,East Asia & Pacific,Upper middle income,194535,1.262955252,109.6542435,111.6883087,106.8641968,110.9659424,10,11.14966458,776.2510602,6328.633404,6180,72.895
San Marino,Europe & Central Asia,High income,33504,0,,,,,23.33333333,358.1661891,1091.511461,57453.84848,,
Sao Tome and Principe,Sub-Saharan Africa,Lower middle income,203227,0.595447455,79.76899719,75.23774719,,,18.18181818,7.011863581,876.0991404,3889.412706,3900,69.67
Saudi Arabia,Middle East & North Africa,High income,32442572,17.36758781,99.28475952,106.7910385,102.2789764,106.8011475,19.86754967,197.1958327,1477.456843,45485.65958,46590,74.761
Senegal,Sub-Saharan Africa,Lower middle income,14993528,0.727113125,,,,,42.66666667,6.559696957,1012.870353,3075.934479,3000,67.078
Serbia,Europe & Central Asia,Upper middle income,7058322,6.406826438,98.29650116,99.34037781,95.53839874,94.76907349,34,205.5672722,1288.471963,15758.44005,14890,75.68780488
Seychelles,Sub-Saharan Africa,High income,94677,6.390728477,112.6865692,112.6074524,114.3769989,107.5384598,21.21212121,148.240861,1603.948161,25681.31271,23720,74.3097561
Sierra Leone,Sub-Saharan Africa,Low income,7328838,0.149104947,67.46497345,69.19946289,54.24449921,59.22845078,12.39669421,,856.7893028,1596.620542,1420,53.444
Singapore,East Asia & Pacific,High income,5607283,6.694046297,99.18698883,100.3677979,105.1212387,109.529808,23.76237624,260.5718313,1508.876937,89386.0794,83730,82.84634146
Sint Maarten (Dutch part),Latin America & Caribbean,High income,39969,0,,,,,,,1722.334809,38230.03186,38220,78.29268293
