Country,Region,Population,Income Group,CO2 emissions (metric tons per capita),"% Literacy, adult female","% Literacy, adult male","% Primary completion, female","% Primary completion, male","% Lower secondary completion, female","% Lower secondary completion, male",% Parliament seats held by women
Madagascar,Sub-Saharan Africa,24894380,Low income,0.156876974,,,69.75856018,65.41860199,36.50548935,35.55535126,20.52980132
Malawi,Sub-Saharan Africa,17205289,Low income,0.075448776,,,,,,,16.66666667
Malaysia,East Asia & Pacific,30684804,Upper middle income,8.091591623,93.36942291,96.29699707,101.4403076,98.66143799,86.1452713,80.69857025,10.36036036
Maldives,South Asia,475513,Upper middle income,3.03839853,98.11470795,97.29892731,100.5470886,113.4093628,109.207962,96.39817047,5.882352941
Mali,Sub-Saharan Africa,17965429,Low income,0.176967052,,,47.86235809,54.13811874,25.36207008,35.7364502,8.843537415
Malta,Middle East & North Africa,455356,High income,2.947412574,,,102.9796066,100.6930695,97.63105011,103.1310196,12.85714286
Marshall Islands,East Asia & Pacific,57735,Upper middle income,2.477058976,,,72.78646088,69,,,9.090909091
Mauritania,Sub-Saharan Africa,4163534,Lower middle income,0.657914406,,,,,29.30444908,29.57226944,25.17006803
Mauritius,Sub-Saharan Africa,1263473,High income,3.442148744,90.98055267,95.43585968,102.4035568,99.78594208,93.12751007,84.03575134,11.5942029
Mexico,Latin America & Caribbean,123333376,Upper middle income,3.943827403,93.96852112,95.84481812,104.0164719,103.9240265,97.86605835,94.21698761,42.4
"Micronesia, Fed. Sts.",East Asia & Pacific,110215,Lower middle income,1.297581999,,,89.65818787,92.37779999,,,0
Moldova,Europe & Central Asia,2802170,Lower middle income,1.825536995,,,89.85061646,89.71704865,81.75087738,84.33666992,21.78217822
Monaco,Europe & Central Asia,38070,High income,0,,,,,,,20.83333333
Mongolia,East Asia & Pacific,3056359,Lower middle income,8.300172198,,,92.62698364,93.35178375,,,17.10526316
Montenegro,Europe & Central Asia,622303,Upper middle income,3.240945327,,,89.5905838,91.11650085,98.84967041,95.55342865,23.45679012
Morocco,Middle East & North Africa,35126296,Lower middle income,1.744435849,,,94.56421661,95.49629974,69.11273193,66.88374329,20.50632911
Mozambique,Sub-Saharan Africa,27829942,Low income,0.285402032,,,,,,,39.6
Myanmar,East Asia & Pacific,53045226,Lower middle income,0.476580079,71.84699249,80.01158905,,,57.49364853,51.85800934,9.930715935
Namibia,Sub-Saharan Africa,2358041,Upper middle income,1.793035405,,,,,,,41.34615385
Nauru,East Asia & Pacific,13049,High income,3.653230133,,,133.3333282,128.7037048,,,5.263157895
Nepal,South Asia,27261131,Lower middle income,0.333997918,,,121.8397598,111.9474335,94.62602997,84.88746643,29.57983193
Netherlands,Europe & Central Asia,17030314,High income,10.02797271,,,,,,,37.33333333
New Caledonia,East Asia & Pacific,276550,High income,19.26650154,,,,,,,
New Zealand,East Asia & Pacific,4693200,High income,7.325874031,,,,,,,31.40495868
Nicaragua,Latin America & Caribbean,6303974,Lower middle income,0.887087256,,,,,,,45.65217391
Niger,Sub-Saharan Africa,20788838,Low income,0.097016004,,,65.04421997,77.9905777,14.36577034,18.66916084,14.61988304
Nigeria,Sub-Saharan Africa,185960289,Lower middle income,0.647284835,,,,,,,5.555555556
North Macedonia,Europe & Central Asia,2080745,Upper middle income,3.388998171,,,,,,,33.33333333
Northern Mariana Islands,East Asia & Pacific,56188,High income,0,,,,,,,
Norway,Europe & Central Asia,5234519,High income,7.836962479,,,100.5684128,101.132309,100.977562,101.1512985,39.64497041
Oman,Middle East & North Africa,4479219,High income,14.16707578,90.94416046,96.63082886,103.6220932,103.6729736,101.2294006,103.4809418,1.176470588
Pakistan,South Asia,203627284,Lower middle income,0.987832348,,,58.84320068,70.61134338,42.70442963,50.94345093,20.58823529
